1,Abacate da Pedreira (Macapá)
2,Abadia de Goiás
3,Abadia dos Dourados
4,Abadia (Jandaíra)
5,Abadiânia
6,Abaeté
7,Abaeté dos Mendes (Rio Paranaíba)
8,Abaetetuba
9,Abaiara
10,Abaíba (Leopoldina)
11,Abaíra
12,Abapã (Castro)
13,Abaré
14,Abarracamento (Rio das Flores)
15,Abatiá
16,Abdon Batista
17,Abelardo Luz
18,Abel Figueiredo
19,Abílio Martins (Ipu)
20,Abóbora (Juazeiro)
21,Abrantes (Camaçari)
22,Abre Campo
23,Abreu e Lima
24,Abreulândia
25,Abreus (Alto Rio Doce)
26,Abunã (Porto Velho)
27,Acaiaca
28,Açailândia
29,Acajutiba
30,Acampamento das Minas (Telêmaco Borba)
31,Acará
32,Acarape
33,Acaraú
34,Acari
35,Acauã
36,Aceguá
37,Acioli (João Neiva)
38,Acopiara
39,Acorizal
40,Acrelândia
41,Acreúna
42,Açu
43,Açucena
44,Açu da Torre (Mata de São João)
45,Açude dos Pinheiros (Ibicuitinga)
46,Açudina (Santa Maria da Vitória)
47,Açudinho dos Costas (Mombaça)
48,Açungui (Rio Branco do Sul)
49,Acupe (Santo Amaro)
50,Acuruí (Itabirito)
51,Adamantina
52,Adão Colares (Botumirim)
53,Adelândia
54,Adhemar de Barros (Terra Rica)
55,Adolfo
56,Adrianópolis
57,Adrianópolis (Granja)
58,Adro de São Gonçalo (Itiúba)
59,Adustina
60,Afligidos (São Gonçalo dos Campos)
61,Afogados da Ingazeira
62,Afonso Arinos (Comendador Levy Gasparian)
63,Afonso Bezerra
64,Afonso Cláudio
65,Afonso Cunha
66,Afonso Rodrigues (São Luiz Gonzaga)
67,Afrânio
68,Afrânio Peixoto (Lençóis)
69,Afuá
70,Aghá (Piúma)
71,Agisse (Rancharia)
72,Agostinho (Castro)
73,Agrestina
74,Agricolândia
75,Agrolândia
76,Agronômica
77,Agrópolis Bela Vista (Santarém)
78,Agrovila São Sebastião do Caburi (Parintins)
79,Água Azul do Norte
80,Água Azul (Lapa)
81,Água Boa
82,Água Boa
83,Água Boa (Paiçandu)
84,Água Boa (Rochedo)
85,Água Branca
86,Água Branca
87,Água Branca
88,Água Branca de Minas (Comercinho)
89,Água Branca (Guarapuava)
90,Água Clara
91,Água Comprida
92,Aguaçu (Cuiabá)
93,Água da Prata (Brasnorte)
94,Água Doce
95,Água Doce do Maranhão
96,Água Doce do Norte
97,Água Doce (Ibicuí)
98,Água Fria
99,Água Fria (Belo Jardim)
100,Água Fria (Chapada dos Guimarães)
101,Água Fria de Goiás
102,Água Fria (Xinguara)
103,Aguaí
104,Aguaí (Itapajé)
105,Água Limpa
106,Água Mineral (Guarapuava)
107,Aguanil
108,Água Nova
109,Aguapeí (Vila Bela da Santíssima Trindade)
110,Aguapés (Osório)
111,Água Preta
112,Água Santa
113,Água Santa de Minas (Tombos)
114,Águas Belas
115,Águas Belas (Boa Viagem)
116,Águas Brancas (Urubici)
117,Águas Claras (Mafra)
118,Águas Claras (Novo Horizonte do Norte)
119,Águas Claras (Viamão)
120,Águas da Prata
121,Águas de Chapecó
122,Águas de Contendas (Conceição do Rio Verde)
123,Águas de Lindóia
124,Águas de Santa Bárbara
125,Águas de São Pedro
126,Águas do Paulista (Paratinga)
127,Águas Férreas (São Pedro dos Ferros)
128,Águas Formosas
129,Águas Frias
130,Águas Lindas de Goiás
131,Águas Mornas
132,Águas Vermelhas
133,Água Verde (Guaiúba)
134,Água Vermelha (Castro)
135,Água Vermelha (São Carlos)
136,Água Viva (Estrela Dalva)
137,Agudo
138,Agudos
139,Agudos do Sul
140,Águia Branca
141,Aguiar
142,Aguiarnópolis
143,Agulha (Fernando Prestes)
144,Aguti (Nova Trento)
145,Aimorés
146,Ainhumas (Rondonópolis)
147,Aiquara
148,Airi (Floresta)
149,Airituba (São José do Calçado)
150,Aiuaba
151,Aiuá (Massapê)
152,Aiurê (Grão Pará)
153,Aiuruoca
154,Ajapi (Rio Claro)
155,Ajuricaba
156,Alagoa
157,Alagoa Grande
158,Alagoa Nova
159,Alagoinha
160,Alagoinha
161,Alagoinha (Araripe)
162,Alagoinha do Piauí
163,Alagoinha (Paraipaba)
164,Alagoinhas
165,Alambari
166,Alazão (Arapiraca)
167,Albardão (Rio Pardo)
168,Albertina
169,Alberto Isaacson (Martinho Campos)
170,Alberto Moreira (Barretos)
171,Albertos (Formiga)
172,Albuquerque (Corumbá)
173,Albuquerque Né (Sertânia)
174,Alcântara
175,Alcântaras
176,Alcantil
177,Alcantilado (Guiratinga)
178,Alcinópolis
179,Alcobaça
180,Aldeia (Conselheiro Pena)
181,Aldeias Altas
182,Alecrim
183,Alecrim (Pão de Açúcar)
184,Alegre
185,Alegre (Condeúba)
186,Alegre (Coromandel)
187,Alegrete
188,Alegrete do Piauí
189,Alegria
190,Alegria (Simonésia)
191,Além Paraíba
192,Alenquer
193,Alexandra (Paranaguá)
194,Alexandria
195,Alexandrita (Iturama)
196,Alexânia
197,Alfenas
198,Alfredo Brenner (Ibirubá)
199,Alfredo Chaves
200,Alfredo Guedes (Lençóis Paulista)
201,Alfredo Marcondes
202,Alfredo Vasconcelos
203,Alfredo Wagner
204,Algodão de Jandaíra
205,Algodão (Ibirataia)
206,Algodoal (Maracanã)
207,Algodões (Quijingue)
208,Algodões (Quiterianópolis)
209,Algodões (Sertânia)
210,Alhandra
211,Aliança
212,Aliança do Tocantins
213,Almadina
214,Almas
215,Almeida (Jaboticatubas)
216,Almeirim
217,Almenara
218,Almino Afonso
219,Almirante Tamandaré
220,Almirante Tamandaré do Sul
221,Almoço (Bragança)
222,Almofala (Itarema)
223,Aloândia
224,Alpercata
225,Alpestre
226,Alpinópolis
227,Alta Floresta
228,Alta Floresta D'Oeste
229,Altair
230,Altamira
231,Altamira do Maranhão
232,Altamira do Paraná
233,Altaneira
234,Altaneira (Maringá)
235,Alta Pará (Santarém)
236,Alter do Chão (Santarém)
237,Alterosa
238,Altinho
239,Altinópolis
240,Alto Alegre
241,Alto Alegre
242,Alto Alegre
243,Alto Alegre (Capinzal)
244,Alto Alegre (Cerrito)
245,Alto Alegre (Colorado)
246,Alto Alegre do Iguaçu (Capitão Leônidas Marques)
247,Alto Alegre do Maranhão
248,Alto Alegre do Pindaré
249,Alto Alegre dos Parecis
250,Alto Alegre (Pedro Osório)
251,Alto Alegre (Umuarama)
252,Alto Alvorada (Orizona)
253,Alto Amparo (Telêmaco Borba)
254,Alto Araguaia
255,Alto Bela Vista
256,Alto Belo (Bocaiúva)
